Model,Descriptors,n_bits,ROC AUC test,ROC AUC val
svc,['mordred'],256,0.8323,0.8464
svc,"['morgan', 'maccs']",256,0.9094,0.9077
svc,"['morgan','mordred']",256,0.8803,0.883
svc,['morgan'],256,0.8652,0.8572
svc,"['rdkit', 'maccs']",256,0.903,0.9008
svc,"['rdkit', 'mordred']",256,0.8656,0.8682
svc,"['rdkit', 'morgan']",256,0.8697,0.877
svc,['rdkit'],256,0.8281,0.8619
svc,"['morgan', 'maccs']",256,0.9094,0.9077
svc,"['mordred', 'maccs']",256,0.8815,0.8809999999999999
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.9016,0.8977
svc,['maccs'],256,0.858,0.8488
svc,['mordred'],256,0.8323,0.8462
svc,"['morgan', 'maccs']",256,0.9094,0.9077
svc,"['morgan','mordred']",256,0.8803,0.883
svc,['morgan'],256,0.8652,0.8572
svc,"['rdkit', 'maccs']",256,0.903,0.9005
svc,"['rdkit', 'mordred']",256,0.8656,0.8682
svc,"['rdkit', 'morgan']",256,0.8697,0.877
svc,['rdkit'],256,0.8281,0.8619
rf,['maccs'],256,0.8871,0.8781
rf,['mordred'],256,0.8557,0.8543
rf,"['morgan', 'maccs']",256,0.856,0.8677
rf,"['morgan','mordred']",256,0.8328,0.8224
rf,['morgan'],256,0.8744,0.8902
rf,"['rdkit', 'maccs']",256,0.8740000000000001,0.8685
rf,"['rdkit', 'mordred']",256,0.8462,0.8532
rf,"['rdkit', 'morgan','mordred', 'maccs']",256,0.8423,0.8375
rf,"['rdkit', 'morgan']",256,0.8739,0.8771
rf,['rdkit'],256,0.8692,0.8638
lr,['maccs'],256,0.8332,0.8388
lr,['mordred'],256,0.8628,0.8567
lr,"['morgan', 'maccs']",256,0.8768,0.8795
lr,"['morgan','mordred']",256,0.8721,0.8748
lr,['morgan'],256,0.8607,0.879
lr,"['rdkit', 'maccs']",256,0.8593,0.8709
lr,"['rdkit', 'mordred']",256,0.8094,0.8224
lr,"['rdkit', 'morgan','mordred', 'maccs']",256,0.8889,0.8798
lr,"['rdkit', 'morgan']",256,0.8739,0.8849
lr,['rdkit'],256,0.8287,0.853
knn,['maccs'],256,0.8751,0.8606
knn,['mordred'],256,0.8574,0.8664
knn,"['morgan', 'maccs']",256,0.8756,0.8718
knn,"['morgan','mordred']",256,0.8698,0.8843
knn,['morgan'],256,0.8502,0.8287
knn,"['rdkit', 'maccs']",256,0.8849,0.882
knn,"['rdkit', 'mordred']",256,0.8608,0.8487
knn,"['rdkit', 'morgan','mordred', 'maccs']",256,0.8686,0.8815
knn,"['rdkit', 'morgan']",256,0.8631,0.8543
knn,['rdkit'],256,0.8562,0.8756
rf,['maccs'],512,0.8909,0.8783
rf,['mordred'],512,0.8699,0.8705
rf,"['morgan', 'maccs']",512,0.8787,0.8749
rf,"['morgan','mordred']",512,0.8694,0.87
rf,['morgan'],512,0.8798,0.904
rf,"['rdkit', 'maccs']",512,0.8737,0.867
rf,"['rdkit', 'mordred']",512,0.8728,0.8745
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8448,0.8375
rf,"['rdkit', 'morgan']",512,0.8668,0.8624
rf,['rdkit'],512,0.8673,0.8541
lr,['maccs'],512,0.8332,0.8388
lr,['mordred'],512,0.8628,0.8562
lr,"['morgan', 'maccs']",512,0.8824,0.8943
lr,"['morgan','mordred']",512,0.8656,0.8690000000000001
lr,['morgan'],512,0.8815,0.8878
lr,"['rdkit', 'maccs']",512,0.8591,0.8709
lr,"['rdkit', 'mordred']",512,0.8094,0.8224
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8909999999999999,0.8819
lr,"['rdkit', 'morgan']",512,0.8727,0.8881
lr,['rdkit'],512,0.8287,0.853
knn,['maccs'],512,0.8751,0.8606
knn,['mordred'],512,0.8574,0.8664
knn,"['morgan', 'maccs']",512,0.8847,0.8456
knn,"['morgan','mordred']",512,0.8734,0.8781
knn,['morgan'],512,0.862,0.8678
knn,"['rdkit', 'maccs']",512,0.8849,0.882
knn,"['rdkit', 'mordred']",512,0.8608,0.8487
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8749,0.8474
knn,"['rdkit', 'morgan']",512,0.8642,0.8466
knn,['rdkit'],512,0.8562,0.8756
xgb,"['morgan', 'maccs']",512,0.9047,0.8876
xgb,"['morgan','mordred']",512,0.8709,0.8802
xgb,['morgan'],512,0.904,0.8878
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8775,0.8844
xgb,"['rdkit', 'morgan']",512,0.8737,0.8766
svc,"['morgan', 'maccs']",512,0.8604,0.8640000000000001
svc,"['morgan','mordred']",512,0.8638,0.866
svc,['morgan'],512,0.8886,0.8906
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.9025,0.8896
svc,"['rdkit', 'morgan']",512,0.8909999999999999,0.8954
svc,"['morgan', 'maccs']",512,0.8836,0.8808
svc,"['morgan','mordred']",512,0.8638,0.866
svc,['morgan'],512,0.8647,0.8695
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8955,0.8935
svc,"['rdkit', 'morgan']",512,0.8652,0.8729
svc,"['morgan', 'maccs']",512,0.8836,0.8808
svc,"['morgan','mordred']",512,0.8638,0.866
svc,['morgan'],512,0.8647,0.8695
