,smiles,docking
133,c1ccccc1C[C@@H](C(=O)N([C@@H]2[C@@]34O)CCC2)N3C(=O)[C@](O4)(C)NC(=O)[C@H](C5)CN(C)[C@H](C6)C=5C7=CC=CC([C@H]7C6=8)=NC8,-10.318979
134,c1ccccc1[C@@H](C)[NH2+]C[C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.3151045
135,c1cc(C)nc(c12)cccc2OCC[N@H+](CC3)CC[C@@H]3Cc4cc(ccc4)N5CCCC5=O,-10.31467
136,C1CCN([C@@H]1[C@@]23O)C(=O)[C@H](C(C)C)N2C(=O)[C@](O3)(C(C)C)NC(=O)[C@H](C4)CN(C)[C@H](C5)C=4C6=CC=CC([C@@H]6C5=7)=NC7,-10.309637
137,N1CCN(C1=O)CC[N@@H+](CC2)CC[C@@H]2c3cn(-c4ccc(F)cc4)c(c35)ccc(c5)-c6nccn6C,-10.306439
138,c1ccccc1[C@H](CO)[NH2+][C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5ccnc5,-10.302076
139,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@H+](CC4)CC[C@@H]4C[NH2+][C@@H]5CCc(c56)cccc6,-10.298314
140,c1cc(F)ccc1C(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.29825
141,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-10.294962
142,C1C[N@H+](C)CC[C@@H]1C(=CN2)[C@@H](C=23)C=C(C=C3)NC(=O)CCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-10.29402
143,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@@H]2CC[N@@H+](C2)CCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-10.291811
144,C1CCN([C@@H]1[C@@]23O)C(=O)[C@H](C(C)C)N2C(=O)[C@](O3)(C(C)C)NC(=O)[C@H](C4)CN(C)[C@H](C5)C=4C6=CC=CC([C@@H]6C5=7)=NC7,-10.284252
145,c1cccc(F)c1NC(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.264175
146,c1cc(F)ccc1NC(=O)NC(C=C2)=N[C@H](C2=3)C(=CN3)[C@H]4CC[N@H+](C)CC4,-10.261433
147,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@H+](CC4)CC[C@]4(F)CCc5c(F)cccc5,-10.255607
148,c1ccccc1[C@@](C)(CO)[NH2+][C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.248627
149,N1CCN(C1=O)CC[N@@H+](CC2)CC[C@@H]2c3cn(-c4ccc(F)cc4)c(c35)ccc(c5)-c6cccnc6,-10.236641
150,c1nncn1C(C=C2)=C[C@@H](C2=3)C(=CN3)CCC[N@@H+](CC4)CC[C@]4(F)CCc5c(F)cccc5,-10.235254
151,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)N5CCCC5=O,-10.230255
152,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)COC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.230007
153,N1CCN(C1=O)CC[N@@H+](CC2)CC[C@@H]2c3cn(-c4ccc(F)cc4)c(c35)ccc(c5)-c6c[nH]nn6,-10.219951
154,N1CCN(C1=O)CC[N@@H+](CC2)CC[C@@H]2c3cn(-c4ccc(F)cc4)c(c35)ccc(c5)-c6cccnc6,-10.215728
155,c1ccccc1C[C@@H](C(=O)N([C@@H]2[C@@]34O)CCC2)N3C(=O)[C@](O4)(C)NC(=O)[C@H](C5)CN(C)[C@H](C6)C=5C7=CC=CC([C@H]7C6=8)=NC8,-10.215449
156,c1cc(O)c(CO)cc1[C@@H](O)C[NH2+]CCCCCCOCCCCc2cc(ccc2)S(=O)(=O)C3CCCC3,-10.208674
