Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8886,0.9534
xgb,"['rdkit', 'morgan']",512,0.8318,0.9215
xgb,['morgan'],512,0.8738,0.7671
xgb,"['morgan', 'maccs']",512,0.9106,0.867
xgb,"['morgan','mordred']",512,0.7859,0.81
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8735,0.9361
svc,"['rdkit', 'morgan']",512,0.8136,0.8524
svc,['morgan'],512,0.7829,0.8335
svc,"['morgan', 'maccs']",512,0.8738,0.8640000000000001
svc,"['morgan','mordred']",512,0.8204,0.9151
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7432,0.6724
rf,"['rdkit', 'morgan']",512,0.7955,0.7787
rf,['morgan'],512,0.7656,0.7247
rf,"['morgan', 'maccs']",512,0.8482,0.7701
rf,"['morgan','mordred']",512,0.7303,0.6662
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8045,0.6446
lr,"['rdkit', 'morgan']",512,0.7652,0.6713
lr,['morgan'],512,0.7446,0.8826
lr,"['morgan', 'maccs']",512,0.7859,0.6345
lr,"['morgan','mordred']",512,0.8054,0.7437
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.6962,0.7881
knn,"['rdkit', 'morgan']",512,0.6508,0.7092
knn,['morgan'],512,0.6157,0.6162
knn,"['morgan', 'maccs']",512,0.6518,0.6088
knn,"['morgan','mordred']",512,0.6536,0.7433
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.953,0.8989
xgb,"['rdkit', 'morgan']",1024,0.7845,0.8073
xgb,['morgan'],1024,0.8249,0.7515
xgb,"['morgan', 'maccs']",1024,0.9271,0.8424
xgb,"['morgan','mordred']",1024,0.7844,0.7206
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8621,0.9354
svc,"['rdkit', 'morgan']",1024,0.7477,0.8403
svc,['morgan'],1024,0.6987,0.8156
svc,"['morgan', 'maccs']",1024,0.8655,0.8849
svc,"['morgan','mordred']",1024,0.7866,0.9374
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8068,0.7626
rf,"['rdkit', 'morgan']",1024,0.7371,0.6863
rf,['morgan'],1024,0.7701,0.7247
rf,"['morgan', 'maccs']",1024,0.843,0.7232
rf,"['morgan','mordred']",1024,0.7385,0.6684
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8038,0.6491
lr,"['rdkit', 'morgan']",1024,0.7515,0.6705
