Model,Descriptors,n_bits,ROC AUC,ROC AUC val
lr,"['rdkit', 'mordred']",64,0.7289,0.7398
lr,"['rdkit', 'morgan','mordred', 'maccs']",64,0.8058,0.8339
lr,"['rdkit', 'morgan']",64,0.7207,0.7309
lr,['rdkit'],64,0.8228,0.7774
knn,['maccs'],64,0.551,0.7432
knn,['mordred'],64,0.6357,0.5278
knn,"['morgan', 'maccs']",64,0.556,0.6761
knn,"['morgan','mordred']",64,0.6488,0.6036
knn,['morgan'],64,0.4897,0.5251
knn,"['rdkit', 'maccs']",64,0.5511,0.6102
knn,"['rdkit', 'mordred']",64,0.7043,0.5249
knn,"['rdkit', 'morgan','mordred', 'maccs']",64,0.675,0.6024
knn,"['rdkit', 'morgan']",64,0.6236,0.4535
knn,['rdkit'],64,0.5605,0.4994
rf,['maccs'],256,0.7942,0.807
rf,['mordred'],256,0.7004,0.5671
rf,"['morgan', 'maccs']",256,0.8386,0.6877
rf,"['morgan','mordred']",256,0.7511,0.5856
rf,['morgan'],256,0.6867,0.7208
rf,"['rdkit', 'maccs']",256,0.86,0.753
rf,"['rdkit', 'mordred']",256,0.6999,0.6157
rf,"['rdkit', 'morgan','mordred', 'maccs']",256,0.7995,0.6645
rf,"['rdkit', 'morgan']",256,0.7774,0.6877
rf,['rdkit'],256,0.8348,0.7032
lr,['maccs'],256,0.858,0.8964
lr,['mordred'],256,0.7498,0.7372
lr,"['morgan', 'maccs']",256,0.823,0.8779
lr,"['morgan','mordred']",256,0.7705,0.7623
lr,['morgan'],256,0.7198,0.7405
lr,"['rdkit', 'maccs']",256,0.8462,0.8682
lr,"['rdkit', 'mordred']",256,0.7308,0.7586
lr,"['rdkit', 'morgan','mordred', 'maccs']",256,0.8108,0.8306
lr,"['rdkit', 'morgan']",256,0.7390000000000001,0.6899
lr,['rdkit'],256,0.8228,0.7774
knn,['maccs'],256,0.551,0.7432
knn,['mordred'],256,0.6357,0.5278
knn,"['morgan', 'maccs']",256,0.5503,0.6325
knn,"['morgan','mordred']",256,0.5976,0.6025
knn,['morgan'],256,0.4903,0.6014
knn,"['rdkit', 'maccs']",256,0.5511,0.6102
knn,"['rdkit', 'mordred']",256,0.7043,0.5249
knn,"['rdkit', 'morgan','mordred', 'maccs']",256,0.6721,0.6035
knn,"['rdkit', 'morgan']",256,0.5605,0.5271
knn,['rdkit'],256,0.5605,0.4994
rf,['maccs'],512,0.7742,0.7884
rf,['mordred'],512,0.6704,0.5562
rf,"['morgan', 'maccs']",512,0.8247,0.6777
rf,"['morgan','mordred']",512,0.6385,0.5431
rf,['morgan'],512,0.7017,0.711
rf,"['rdkit', 'maccs']",512,0.8802,0.742
rf,"['rdkit', 'mordred']",512,0.7963,0.6501
rf,"['rdkit', 'morgan','mordred', 'maccs']",512,0.826,0.6822
rf,"['rdkit', 'morgan']",512,0.7736,0.6755
rf,['rdkit'],512,0.7926,0.7209
lr,['maccs'],512,0.8643,0.8986
lr,['mordred'],512,0.7661,0.7808
lr,"['morgan', 'maccs']",512,0.8599,0.8648
lr,"['morgan','mordred']",512,0.7104,0.6532
lr,['morgan'],512,0.8136,0.6663
lr,"['rdkit', 'maccs']",512,0.8455,0.8682
lr,"['rdkit', 'mordred']",512,0.7301,0.7497
lr,"['rdkit', 'morgan','mordred', 'maccs']",512,0.8335,0.8306
lr,"['rdkit', 'morgan']",512,0.8493,0.7076
