Model,Descriptors,n_bits,ROC AUC,ROC AUC val
rf,"['mordred', 'maccs']",2048,0.69540±0.00000,0.59760±0.00000
svc,"['rdkit', 'morgan','mordred', 'maccs']",2048,0.83540±0.00000,0.78960±0.00000
svc,"['rdkit', 'morgan','mordred', 'maccs']",1024,0.82220±0.00000,0.81510±0.00000
svc,"['rdkit', 'morgan','mordred', 'maccs']",512,0.81080±0.00000,0.79960±0.00000
svc,"['mordred', 'maccs']",256,0.79670±0.00000,0.83210±0.00000
svc,"['rdkit', 'morgan','mordred', 'maccs']",256,0.77430±0.00000,0.80510±0.00000
svc,['maccs'],256,0.76740±0.00000,0.86040±0.00000
svc,['mordred'],256,0.80610±0.00000,0.81240±0.00000
svc,"['rdkit', 'maccs']",256,0.77300±0.00000,0.85600±0.00000
svc,"['rdkit', 'mordred']",256,0.81020±0.00000,0.80840±0.00000
svc,['rdkit'],256,0.82280±0.00000,0.75530±0.00000
svc,"['rdkit', 'morgan','mordred', 'maccs']",64,0.78060±0.00000,0.82280±0.00000
svc,"['rdkit', 'morgan','mordred', 'maccs']",32,0.78120±0.00000,0.82390±0.00000
xgb,"['rdkit', 'maccs']",2048,0.86570±0.00000,0.79180±0.00000
xgb,"['rdkit', 'mordred']",2048,0.84490±0.00000,0.84940±0.00000
xgb,"['rdkit', 'morgan','mordred', 'maccs']",2048,0.93380±0.00000,0.87600±0.00000
xgb,['rdkit'],2048,0.85500±0.00000,0.77740±0.00000
xgb,"['rdkit', 'morgan','mordred', 'maccs']",1024,0.93630±0.00000,0.85270±0.00000
xgb,"['rdkit', 'morgan','mordred', 'maccs']",512,0.92690±0.00000,0.85600±0.00000
xgb,"['rdkit', 'morgan','mordred', 'maccs']",256,0.91800±0.00000,0.86490±0.00000
xgb,"['rdkit', 'morgan','mordred', 'maccs']",64,0.91200±0.00000,0.86380±0.00000
xgb,"['rdkit', 'morgan','mordred', 'maccs']",32,0.91800±0.00000,0.85990±0.00000
